name,position
Димитар Ковачевски,Претседател на Владата
Артан Груби,Прв Заменик на Претседателот на Владата
Артан Груби,министер за политички систем и односи меѓу заедниците
Фатмир Битиќи,"Заменик на Претседателот на Владата задолжен за економски прашања, координација на економските ресори и инвестиции"
Бојан Маричиќ,Заменик на Претседателот на Владата за европски прашања
Славица Грковска,Заменик на Претседателот на Владата задолжен за политики за добро владеење
Оливер Спасовски,Министер за внатрешни работи
Крешник Бектеши,Министер за економија
Горан Милевски,Министер за локална самоуправа
Бујар Османи,Министер за надворешни работи
Насер Нуредини,Министер за животна средина и просторно планирање
Фатмир Бесими,Mинистер за финансии
Благој Бочварски,Министер за транспорт и врски
Љупчо Николовски,"Министер за земјоделство, шумарство и водостопанство"
Славјанка Петровска,Министерка за одбрана
Беким Сали,Министер за здравство
Никола Тупанчески,Министер за правда
Јетон Шаќири,Министер за образование и наука
Јована Тренчевска,Министерка за труд и социјална политика
Бисера Костадиновска Стојчевска,Министерка за култура
Адмирим Алити,Министер за информатичко општество и администрација
Џемаил Чупи,Министер без ресор задолжен за дијаспора
