id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q678492,President of North Macedonia,Q221,Q221,,,1991-04-16,,,,President of North Macedonia
Q1776220,Prime Minister of North Macedonia,Q221,Q221,,Q29159502,1991-04-16,,,,Prime Minister of North Macedonia
Q108336268,Deputy Prime Minister of North Macedonia,Q221,Q221,,,,,,,
Q108337224,Deputy Prime Minister in charge of Economic Affairs,Q221,Q221,,,,,,,
Q108336676,Deputy Prime Minister for European Integration,Q221,Q221,,,,,,,
Q108336757,Deputy Prime Minister for the Fight against Corruption and Crime,Q221,Q221,,,,,,,
Q108337175,Minister for Political System and Inter-Community Relations,Q221,Q221,,,,,,,
Q31360868,"Minister of Agriculture, Forestry and Water Management",Q221,Q221,,,,,,,
Q20556633,Minister of Culture,Q221,Q221,,,,,,,
Q12755495,Minister of Defence,Q221,Q221,,,,,,,Minister of Defense (North Macedonia)
Q110636437,Minister for the Diaspora,Q221,Q221,,,,,,,
Q12908643,Minister of Education and Science,Q221,Q221,,,,,,,
Q31360872,Minister of the Environment and Physical Planning,Q221,Q221,,,,,,,
Q31360862,Minister of the Economy,Q221,Q221,,,,,,,
Q12908644,Minister of Finance,Q221,Q221,,,,,,,
Q61867156,Minister of Foreign Affairs,Q221,Q221,,Q12908640,,,,,
Q31360817,Minister of Health,Q221,Q221,,,,,,,
Q31360815,Minister of Information Society and Administration,Q221,Q221,,,,,,,
Q12908633,Minister of the Interior of North Macedonia,Q221,Q221,,,,,,,
Q20556639,Minister of Justice,Q221,Q221,,,,,,,
Q31360865,Minister of Labor and Social Policy,Q221,Q221,,,,,,,
Q31360874,Minister of Local Self-Government,Q221,Q221,,,,,,,
Q31360810,Minister of Transport and Communications,Q221,Q221,,,,,,,
Q109691968,Governor of the National Bank of North Macedonia,Q221,,,,,,,,
Q3407844,Chief of the General Staff of the Army of the Republic of Macedonia,,,,,1992-03-19,,,,Chief of the General Staff (North Macedonia)
Q20567265,Speaker of the Assembly of the Republic of North Macedonia,,,,,,,,,List of presidents of the Assembly of the Republic of North Macedonia
Q12283244,Mayor of the City of Skopje,Q221,Q2575820,,,1991,,,,Mayor of the City of Skopje
