@@,itemlabel,item,startdate,enddate
->,Милан Талевски,Q12286695,1991-01-01->1991,1993-01-01->1993
->,Горан Николовски,Q30319680,1993-01-01->1993,1995-01-01->1995
->,Йове Кекеновски,Q12282075,1995-01-01->1995,1996-01-01->1996
->,Ристо Пенов,Q12292416,1996-01-01->1996,2005-01-01->2005
->,Трифун Костовски,Q3397286,2005-01-01->2005,2009-01-01->2009
->,Коце Траяновски,Q12283938,2009-01-01->2009,2017-01-01->2017
->,Петре Шилегов,Q46996713,2017-10-15->2017,2021-10-31->2021
->,Данела Арсовска,Q104847128,2021-10-31->2021,
