name,position
Зоран Заев,Претседател на Владата
Артан Груби,Прв Заменик на Претседателот на Владата и министер за политички систем и односи меѓу заедниците
Љупчо Николовски,"Заменик на Претседателот на Владата за борба против корупцијата и криминал, одржлив развој и човечки ресурси"
Фатмир Битиќи,"Заменик на Претседателот на Владата задолжен за економски прашања, координација на економските ресори и инвестиции"
Никола Димитров,Заменик на Претседателот на Владата за европски прашања
Радмила Шекеринска,Министерка за одбрана
Оливер Спасовски,Министер за внатрешни работи
Венко Филипче,Министер за здравство
Крешник Бектеши,Министер за економија
Мила Царовска,Министерка за образование и наука
Горан Милевски,Министер за локална самоуправа
Бујар Османи,Министер за надворешни работи
Насер Нуредини,Министер за животна средина и просторно планирање
Бојан Маричиќ,Министер за правда
Фатмир Бесими,Mинистер за финансии
Арјанит Хоџа,"Министер за земјоделство, шумарство и водостопанство"
Јагода Шахпаска,Министерка за труд и социјална политика
Ирена Стефоска,Министерка за култура
Јетон Шаќири,Министер за информатичко општество и администрација
Благој Бочварски,Министер за транспорт и врски
